               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 101,            0.025978,            0.010205,           0.0034727,             0.90452,             0.78957,             0.87579,             0.49126,            0.030341,            0.011266,            0.010828,             0.00901,             0.00901,             0.00901
                 102,            0.026275,            0.010779,           0.0027518,             0.91521,             0.79678,             0.88471,             0.49646,            0.029454,            0.010623,            0.010566,           0.0090001,           0.0090001,           0.0090001
                 103,            0.025375,            0.010348,           0.0017199,             0.82383,             0.79136,              0.8432,             0.47553,            0.029273,            0.011317,              0.0129,           0.0089902,           0.0089902,           0.0089902
                 104,            0.026883,            0.010508,           0.0027538,             0.86394,             0.76574,             0.84009,             0.46563,            0.029862,            0.011557,            0.011592,           0.0089803,           0.0089803,           0.0089803
                 105,             0.02699,            0.010176,           0.0024989,             0.86528,             0.82143,              0.8556,             0.47731,            0.030378,            0.011081,            0.010558,           0.0089704,           0.0089704,           0.0089704
                 106,            0.025034,            0.010916,           0.0022412,             0.88403,             0.78346,             0.85141,             0.45527,            0.030055,            0.010852,            0.008535,           0.0089605,           0.0089605,           0.0089605
                 107,            0.025694,            0.011195,           0.0025407,             0.89574,             0.86123,             0.90767,             0.48976,            0.029697,            0.009999,           0.0079704,           0.0089506,           0.0089506,           0.0089506
                 108,             0.02607,           0.0097983,           0.0026441,             0.89906,             0.83005,             0.89826,             0.48236,            0.029939,            0.010392,           0.0083496,           0.0089407,           0.0089407,           0.0089407
                 109,            0.025275,            0.009976,           0.0024395,             0.85312,             0.84843,              0.8818,             0.48798,            0.029622,            0.010419,           0.0090591,           0.0089308,           0.0089308,           0.0089308
                 110,            0.025819,            0.010978,           0.0026583,             0.84006,             0.86066,             0.87742,             0.46686,            0.029483,            0.010991,           0.0090569,           0.0089209,           0.0089209,           0.0089209
                 111,            0.025651,            0.010307,           0.0019699,              0.9035,             0.79919,             0.87174,             0.49165,            0.028918,            0.010639,           0.0085426,            0.008911,            0.008911,            0.008911
                 112,             0.02603,            0.010011,           0.0022781,             0.85108,             0.84189,             0.87714,             0.47133,             0.03038,            0.010716,            0.009922,           0.0089011,           0.0089011,           0.0089011
                 113,            0.026216,            0.010715,           0.0024706,             0.90144,              0.8348,             0.89116,             0.49154,            0.029535,            0.010388,             0.01113,           0.0088912,           0.0088912,           0.0088912
                 114,            0.026045,            0.010797,           0.0023495,             0.90809,             0.82042,             0.88744,             0.50216,            0.028779,            0.010822,            0.010165,           0.0088813,           0.0088813,           0.0088813
                 115,            0.024841,            0.010135,           0.0021606,             0.87754,             0.82762,               0.879,             0.47949,            0.030031,            0.011382,           0.0097664,           0.0088714,           0.0088714,           0.0088714
